	Gene
CRISPR	7809
cas1	4967
cas2	4717
cas5	3209
Unknown	3190
cas7	2764
cas3	2363
cas6e	1860
cas8e	1830
cse2gr11	1825
cas4	1395
cas6	1374
cas9	1162
PTPS	828
CysJ	828
CysH	827
CysI	826
cas10	759
csm3gr7	745
cas8c	664
cas3HD,cas3	622
csn2	617
cas6f	589
cas7f	587
cas8f	530
cas5f	528
cas3f	502
cas7b	466
csx1	420
csm2gr11	402
FixX	393
FixA	392
G3P_antiterm	391
FixB	389
GlcD	388
FixC	387
Sugar_tr	385
SopD	384
Ga5DH-like_SDR_c	382
COG1237	378
csm4gr5	364
NarK	362
FGGY_ygcE_like	338
csm5gr7	322
WYL	305
cas8b1	268
HOK_GEF	267
cmr3gr5	250
csm6	242
cmr5gr11	240
cmr4gr7	234
cas8b2	229
cmr6gr7	226
cmr1gr7	189
casR	179
cas4,cas1	138
csb2gr5	130
csb1gr7	125
HTH_Tnp_1,HTH_21,rve	117
csx19	107
csx10gr5	106
HTH_11,WYL	95
csf2gr7	87
csf3gr5	86
csf1gr8	83
csc2gr7	82
cas10d	82
csc1gr5	82
TniQ	78
cas3HD	76
IstB_IS21	72
csm3gr7,csm3gr7	70
cas2,DEDDh	68
DDE_Tnp_1	68
PD_DExK	66
DUF1240	66
csb3	64
RelE	64
HD,cas3	63
cas8f,cas5f	60
COG4584	57
Transposase_mut	57
cas8u1	55
RHH	55
cas13b	55
cas8b11	53
DinG	52
csx16	52
csa5gr11	52
DEDDh	48
cas12j	47
csx20	47
HTH_XRE	46
DEDD_Tnp_IS110,Transposase_20	45
gRAMP	45
cas8b3	44
PIN	42
Lrp	41
HTH_Tnp_1	41
csx3	41
RT	39
csm3gr7,csx10gr5	35
HTH_21,rve,rve_2	35
tm_HEPN	34
RT,cas1	34
cas12a	34
corA	32
HEPN	31
cas12f1	31
Xre	30
PHD	29
cysH	29
Y1_Tnp	27
HicA	27
MNT	27
STAND_TPR	26
MarR	26
AbrB	26
csx18	26
MdlB	26
csf4gr11	25
His_Phos_1	25
COG1373	24
cas3,cas3HD	23
HDc,cas3	23
csx1,csx1	23
Usp	22
TPR	22
HicB	22
PIN_VapC4-5_FitB-like	21
cas5,cas5	21
csa3	21
Lin0512_fam	21
TnpB	21
GATase1_1	21
DUF820	20
2OG	20
HicB_lk_antitox	20
cas8a2	20
cas12f2	20
AAAA	19
YitT	19
COG2843	19
TyrB	19
PemK_toxin	18
Tra8	18
DAP2	17
YafQ_toxin	17
LRR_4,LRR_8,Gram_pos_anchor	17
Tmk	17
HTH_28,HTH_21,rve,rve_2	17
MIP	17
cas8u2	17
cas8b12	16
csx21	16
cas10,cas10	16
cas8b2,cas11b	16
DDE_5	16
DnaC	15
DUF772,DDE_Tnp_1	15
HTH_31	15
cas3,cas3	14
HyuA	14
cas8b6	14
PrimPol	14
cas6,icity0080	14
DDE_3	14
DUF4096,DDE_Tnp_1	14
cas8a7	14
Bro-N	14
InsG	14
SIR2-like	14
csx23	14
DUF433	13
Uma2	13
Fic	13
Unk_01	13
