	Gene
cas1	4967
cas2	4717
cas5	3209
cas7	2764
cas3	2363
cas6e	1860
cas8e	1830
cas4	1395
cas6	1374
cas9	1162
cas10	759
cas8c	664
cas3HD,cas3	622
cas6f	589
cas7f	587
cas8f	530
cas5f	528
cas3f	502
cas7b	466
cas8b1	268
cas8b2	229
casR	179
cas4,cas1	138
cas10d	82
cas3HD	76
cas2,DEDDh	68
cas8f,cas5f	60
cas8u1	55
cas13b	55
cas8b11	53
cas12j	47
cas8b3	44
cas12a	34
cas12f1	31
cas3,cas3HD	23
cas5,cas5	21
cas8a2	20
cas12f2	20
cas8u2	17
cas8b12	16
cas10,cas10	16
cas8b2,cas11b	16
cas3,cas3	14
cas8b6	14
cas6,icity0080	14
cas8a7	14
cas8a1	13
cas8b5	11
cas8a4	11
cas11b	11
cas7b,cas7b	10
Cas9-BH,cas9	9
cas7,cas7	9
cas3HD,cas3,cas3	8
cas8a3	8
cas12f4	8
cas3d	8
cas11	8
cas5u	7
cas6,RT,cas1	7
cas12f3	6
cas3HD,cas3,cas8e	6
cas13a	6
cas6e,cas6e	5
cas13c	5
cas5,cas8b2	4
cas3,cas8e	4
cas12b1	4
cas8b10	4
cas8b4	4
cas5a	4
cas6,cas1	3
cas8b8	3
cas8u1,cas8u1	3
cas8a6	3
cas8b9	2
cas1,cas2	2
cas11d	2
cas9,COG1479	2
cas8b10,cas8b10	2
cas6,csm6	2
cas8b7	2
cas3f,cas3	2
cas9,VAR1	1
Cass2	1
cas3HD,ResIII	1
cas12b2	1
CAS_like	1
cas10,DUF4441	1
cas5,SSgr11	1
Cas8b,Cas11b	1
cas11d2	1
cas8a9	1
cas10,DUF4129	1
cas10,DUF4192,cas10	1
cas6,RT	1
cas4,FtsK	1
cas2,cas3HD,cas3	1
cas3d,HamB/ZorD/DruE/DrmA	1
cas5,Atrophin-1	1
cas7,DUF3729	1
cas3HD,cas3,cas3,JetA	1
cas7,cas7b	1
cas3HD,HamB	1
cas8e,Collagen	1
cas5,cas3HD,cas3	1
cas8a8	1
cas3,cas8u1	1
cas10d,cas10d	1
cas12j,cas12j	1
cas10,csx1	1
cas8a2,csa5gr11	1
cas8b13	1
cas3,casR	1
cas8b5,cas8b5	1
cas5u,csb2gr5	1
cas8e,cas7	1
cas6,cas6	1
cas2,PolC	1
cas13d	1
