	Gene Counts
cas1	4967
cas2	4717
cas5	3209
cas7	2764
cas3	2363
cas6e	1860
cas8e	1830
cse2gr11	1825
cas4	1395
cas6	1374
cas9	1162
PTPS	828
CysJ	828
CysH	827
CysI	826
cas10	759
csm3gr7	745
cas8c	664
csn2	617
cas6f	589
cas7f	587
cas8f	530
cas5f	528
cas3f	502
cas7b	466
csx1	420
csm2gr11	402
FixX	393
FixA	392
G3P_antiterm	391
FixB	389
GlcD	388
FixC	387
Sugar_tr	385
SopD	384
Ga5DH-like_SDR_c	382
COG1237	378
csm4gr5	364
NarK	362
FGGY_ygcE_like	338
csm5gr7	322
WYL	305
cas8b1	268
HOK_GEF	267
cmr3gr5	250
csm6	242
cmr5gr11	240
cmr4gr7	234
cas8b2	229
cmr6gr7	226
cmr1gr7	189
casR	179
csb2gr5	130
csb1gr7	125
csx19	107
csx10gr5	106
